user,rating,review,date,likes
Vivek_R,3,"Discovery Weekly equivalent would transform this app. Right now I rely on friends for music recommendations, not Gaana.",2026-06-19,45
Kavya_M,1,"The personalization is a joke. I explicitly rate songs and it still recommends similar songs I've rated badly. No learning happening.",2026-06-23,86
Siddharth_A,2,"Autoplay after playlist ends is terrible. Completely random songs with no connection to my taste or the playlist I was listening to.",2026-06-21,58
Nandini_B,4,"Solid app but discovery features are 2015-era. No AI, no context, no personalization. Just popularity-based recommendations.",2026-06-18,31
Ashwin_C,1,"I listen to instrumental music mostly. Gaana algorithm has never once recommended instrumental music to me. Completely ignores my habits.",2026-06-22,102
Preethi_S,3,"The search is good for songs I know. But there's nothing to help me discover what I DON'T know. That's the gap.",2026-06-20,47
Bharat_V,2,"Radio stations are just curated by humans, not AI. The same playlist recycled. No dynamic personalization.",2026-06-19,55
Geeta_R,1,"My teenage daughter and I share the account. The algorithm gets confused and recommends nothing useful for either of us.",2026-06-23,71
Chetan_M,4,"Great for regional language content availability. But the recommendation system doesn't understand multi-lingual listeners at all.",2026-06-17,26
Deepika_K,2,"I've been on Gaana for 4 years. The recommendations in 2026 are the same as 2022. No improvement. Stuck in time.",2026-06-21,83
Rajesh_T,1,"The 'Similar Artists' feature recommends artists that are not similar at all. No understanding of music genre or style.",2026-06-22,94
Kamala_S,3,"Good app, bad AI. The difference between Gaana and Spotify is entirely in the recommendation intelligence. Gaana loses badly.",2026-06-20,49
Madhav_R,2,"Every Monday I check 'For You' and every Monday I'm disappointed. Same songs, same artists, nothing new.",2026-06-19,62
Usha_V,1,"I told the app I like jazz fusion. It recommended Hindi pop. The onboarding preference setting means absolutely nothing.",2026-06-23,88
Pawan_B,3,"The trending section is fine. But where's the 'based on your taste' section? That's what users actually want.",2026-06-18,35
Nisha_A,4,"I like that Gaana has a lot of regional content. But I can never discover new regional artists because the algorithm doesn't surface them.",2026-06-21,57
Arun_M,1,"Playlist shuffle is broken. It plays the first 5 songs of every playlist repeatedly and never reaches the rest.",2026-06-22,76
Sundar_K,2,"The 'New Releases' section shows the same songs for weeks. No freshness, no real-time updates to recommendations.",2026-06-20,44
Leela_R,3,"Good music catalog but the app makes it hard to explore. Everything is hidden behind trending charts and paid promotions.",2026-06-19,39
Farhan_S,1,"I've tried to give the app feedback by liking and disliking songs for 6 months. Zero impact on recommendations. Feedback goes nowhere.",2026-06-23,115
